second,car,motorbike,bicycle,person,truck,minitruck,van,taxi,MTC,privatebus,auto,ambulance,cumulative_total,cumulative_vehicle_only,cumulative_car,cumulative_motorbike,cumulative_bicycle,cumulative_person,cumulative_truck,cumulative_minitruck,cumulative_van,cumulative_taxi,cumulative_MTC,cumulative_privatebus,cumulative_auto,cumulative_ambulance
0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0
1,0,1,2,1,0,0,0,1,0,0,0,0,7,6,1,1,2,1,0,0,0,2,0,0,0,0
2,1,1,2,1,0,0,0,1,0,0,0,0,11,10,3,1,2,1,0,0,0,4,0,0,0,0
3,0,1,1,2,0,0,0,0,0,0,0,0,13,11,4,1,2,2,0,0,0,4,0,0,0,0
4,0,0,2,2,0,0,0,0,0,0,0,0,13,11,4,1,2,2,0,0,0,4,0,0,0,0
5,0,0,1,2,0,0,0,0,0,0,0,0,14,12,4,1,2,2,0,0,0,5,0,0,0,0
6,0,0,2,2,0,0,0,1,0,0,0,0,16,13,4,1,2,3,0,0,0,6,0,0,0,0
7,0,2,1,3,0,0,0,0,0,0,0,0,20,15,4,3,2,5,0,0,0,6,0,0,0,0
8,0,2,2,3,0,0,0,0,0,0,0,0,21,15,4,3,2,6,0,0,0,6,0,0,0,0
9,0,0,2,3,0,0,0,0,0,0,0,0,24,15,4,3,2,9,0,0,0,6,0,0,0,0
10,1,0,1,4,0,0,0,0,0,0,0,0,29,19,6,3,2,10,0,0,0,8,0,0,0,0
11,0,0,1,4,0,0,0,0,0,0,0,0,32,22,7,3,2,10,0,1,0,9,0,0,0,0
12,0,0,1,5,0,0,0,0,0,0,0,0,35,22,7,3,2,13,0,1,0,9,0,0,0,0
13,0,0,1,4,0,0,0,0,0,0,0,0,38,23,7,3,3,15,0,1,0,9,0,0,0,0
14,0,0,1,3,0,0,0,0,0,0,0,0,38,23,7,3,3,15,0,1,0,9,0,0,0,0
15,0,0,2,1,0,0,0,1,0,0,0,0,45,30,9,3,4,15,0,2,0,12,0,0,0,0
16,1,0,1,2,0,0,0,1,0,0,0,0,50,34,11,4,4,16,0,2,0,13,0,0,0,0
17,1,1,2,2,0,0,0,1,0,0,0,0,59,43,15,5,4,16,0,2,0,17,0,0,0,0
18,1,0,2,1,0,0,0,1,0,0,0,0,63,46,16,6,4,17,0,2,0,18,0,0,0,0
19,1,2,1,0,0,0,0,1,0,0,0,0,72,54,18,8,5,18,0,2,0,21,0,0,0,0
20,0,2,1,0,0,0,0,0,0,0,0,0,72,54,18,8,5,18,0,2,0,21,0,0,0,0
21,0,2,1,0,0,0,0,0,0,0,0,0,73,55,18,9,5,18,0,2,0,21,0,0,0,0
22,1,2,1,0,0,0,0,0,0,0,0,0,78,60,19,10,5,18,0,3,0,23,0,0,0,0
23,1,1,1,0,0,0,0,1,0,0,0,0,84,66,21,10,5,18,0,3,0,27,0,0,0,0
24,0,1,1,0,0,0,0,0,0,0,0,0,88,70,22,11,6,18,0,3,0,28,0,0,0,0
25,0,1,1,0,0,0,0,0,0,0,0,0,89,71,22,11,7,18,0,3,0,28,0,0,0,0
26,1,1,1,0,0,0,0,0,0,0,0,0,96,78,24,12,8,18,0,4,0,30,0,0,0,0
27,1,0,1,0,0,0,0,1,0,0,0,0,99,81,24,12,8,18,0,4,0,33,0,0,0,0
28,0,0,1,0,0,0,0,0,0,0,0,0,102,84,26,12,8,18,0,4,0,34,0,0,0,0
29,0,0,1,0,0,0,0,0,0,0,0,0,102,84,26,12,8,18,0,4,0,34,0,0,0,0
30,0,0,2,0,0,0,0,0,0,0,0,0,103,85,26,12,9,18,0,4,0,34,0,0,0,0
31,0,1,2,0,0,0,0,0,0,0,0,0,108,90,28,13,9,18,0,4,0,36,0,0,0,0
32,0,1,1,0,0,0,0,0,0,0,0,0,110,92,29,13,9,18,0,4,0,37,0,0,0,0
33,0,0,1,0,0,0,0,0,0,0,0,0,110,92,29,13,9,18,0,4,0,37,0,0,0,0
34,0,0,1,0,0,0,0,1,0,0,0,0,112,94,29,14,9,18,0,4,0,38,0,0,0,0
35,0,0,1,0,0,0,0,1,0,0,0,0,114,96,29,14,11,18,0,4,0,38,0,0,0,0
36,0,0,1,0,0,0,0,0,0,0,0,0,116,98,29,14,12,18,0,5,0,38,0,0,0,0
37,0,0,1,0,0,0,0,0,0,0,0,0,116,98,29,14,12,18,0,5,0,38,0,0,0,0
